"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"CIÊNCIAS BIOLÓGICAS ";"Bacharelado";"Integral";"50";"215125"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"CIÊNCIAS BIOLÓGICAS ";"Licenciatura";"Noturno";"50";"215130"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"DIREITO";"Bacharelado";"Noturno";"40";"215147"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"ENFERMAGEM";"Bacharelado";"Integral";"30";"215126"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"ENGENHARIA AGRONÔMICA";"Bacharelado";"Integral";"50";"215132"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"ENGENHARIA FLORESTAL";"Bacharelado";"Integral";"50";"215124"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"LETRAS - ESPANHOL";"Licenciatura";"Vespertino";"50";"215131"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"LETRAS - INGLÊS";"Licenciatura";"Matutino";"50";"215144"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"LETRAS - LÍNGUA PORTUGUESA";"Licenciatura";"Noturno";"50";"215143"
"AC";"UNIVERSIDADE FEDERAL DO ACRE";"UFAC";"Cruzeiro do Sul";"CAMPUS UNIVERSITÁRIO DE CRUZEIRO DO SUL - CAMPUS FLORESTA";"PEDAGOGIA";"Licenciatura";"Vespertino";"50";"215076"
